ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
175	0,0,0,0,0	1,13,14,18,16	0,0,1	14,10,1	119	-1
177	0,0,0,0,0	1042,1332,1444,1375,1552	2,0,0	734,742,669	23	-1
178	1,3,0,2,0	534,658,655,647,584	0,0,0	671,1040,629	9	-1
183	1,2,0,2,1	2,10,9,5,4	3,8,1	9,24,10	17	-1
184	2,3,0,4,4	0,0,1,0,0	14,13,5	0,2,0	672	-1
185	2,1,2,3,0	2,2,1,4,1	0,10,1	5,17,3	2	-1
186	1,0,0,0,0	0,0,0,2,2	1,0,0	2,1,2	2	-1
188	24,5,19,24,14	2,3,0,3,1	11,35,22	3,5,4	2	-1
195	1,6,7,5,0	0,1,1,0,0	10,9,7	1,0,0	36	-1
198	6,8,6,9,8	17,22,16,27,23	11,10,4	21,30,26	73	-1
201	15,16,19,16,8	1,0,0,0,0	9,7,16	0,0,0	211	-1
204	0,0,1,0,0	0,1,0,0,0	0,0,0	0,0,1	371	-1
205	1,0,0,0,0	2,2,0,3,2	0,0,0	1,1,3	371	-1
211	9,5,7,2,6	0,0,0,0,1	12,18,4	0,1,0	3	-1
213	14,3,11,12,13	0,0,0,0,0	38,39,40	0,0,1	121	-1
214	23,15,22,15,24	69,81,87,84,97	12,14,15	67,65,72	49	-1
217	0,0,0,0,2	0,0,0,0,0	1,3,0	3,0,0	65	-1
219	7,5,2,7,5	0,0,0,0,0	15,15,4	1,0,0	48	-1
220	1,0,0,0,1	0,0,0,1,0	0,2,0	1,0,0	2	-1
221	0,0,0,1,0	0,0,3,0,1	1,0,0	0,0,1	125	-1
224	30,40,36,53,34	0,1,0,1,0	74,75,51	0,0,0	101	-1
226	3,7,5,5,2	0,0,1,0,0	9,52,16	0,0,0	1398	-1
229	0,2,2,6,4	5,3,8,6,5	1,3,0	0,2,1	2	-1
236	1,0,0,0,0	9,21,15,28,6	1,1,0	24,95,31	26	-1
243	0,0,0,0,2	0,0,0,0,0	3,2,1	2,0,0	2	-1
244	0,0,0,0,1	3,3,1,3,4	0,0,0	5,17,9	9	-1
245	55,52,74,61,53	1,0,0,0,0	56,71,68	0,0,0	935	-1
246	0,3,0,1,0	9,13,7,7,5	0,0,0	1,0,0	48	-1
247	35,67,49,45,41	1,1,4,4,0	30,21,34	0,0,3	68	-1
248	7,10,12,8,6	3,0,2,1,0	4,5,9	0,1,0	61	-1
249	7,6,5,12,6	1,2,1,2,1	18,53,15	2,5,4	2	-1
250	0,1,0,4,3	0,0,0,2,2	1,3,3	2,2,2	2	-1
