ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
127	5,0,0,4,4	0,0,0,0,0	2,0,4,1,3	1,0,2,1,0	8	-1
128	589,694,696,681,614	0,0,0,1,0	1082,1397,1536,1125,1035	0,0,1,0,0	243	-1
129	17,20,14,14,15	194,240,193,207,202	27,15,20,19,29	382,344,339,324,240	35	-1
135	4,3,1,0,4	0,0,0,1,0	6,10,19,14,5	0,0,0,0,0	57	-1
136	0,1,0,0,0	0,0,0,0,1	1,0,2,0,1	3,1,6,0,1	74	-1
138	0,0,0,0,0	12,14,14,16,13	4,0,2,0,0	38,8,37,16,20	1138	-1
140	3,6,4,1,2	55,46,57,52,49	2,8,3,3,3	40,32,55,33,34	34	-1
141	10,9,3,13,11	4,4,3,6,3	3,24,19,7,11	5,6,4,4,3	419	-1
142	0,0,0,1,0	3,11,8,6,13	0,0,1,0,0	20,13,21,17,11	78	-1
143	3,2,1,5,0	1,2,2,0,0	16,4,6,7,6	4,0,2,1,0	16	-1
144	1,0,0,0,0	0,0,0,2,0	1,0,0,0,0	0,0,0,0,0	16	-1
147	1,0,0,1,0	0,4,1,2,0	1,1,2,0,2	1,4,7,8,2	3	-1
149	3,7,5,5,2	0,0,1,0,0	24,18,20,26,11	0,0,0,0,0	188	-1
151	12,7,18,14,10	10,11,13,19,11	10,8,13,14,12	30,20,9,14,28	75	-1
152	7,5,15,5,9	9,6,3,11,11	9,3,9,23,3	7,17,20,5,14	139	-1
153	26,29,22,39,25	3,1,1,2,5	45,18,37,28,21	6,0,5,8,0	78	-1
156	0,0,0,1,0	0,2,0,1,0	1,0,0,0,0	0,2,2,6,0	672	-1
159	23,21,29,21,11	0,1,0,0,0	30,18,30,21,24	0,0,0,0,0	328	-1
160	2,3,0,3,0	8,15,11,13,17	4,2,5,4,0	21,16,27,31,12	8	-1
163	5,5,5,2,6	10,10,24,15,25	10,5,7,4,8	27,37,67,33,29	13	-1
164	1,0,1,0,1	111,114,129,152,125	4,0,1,1,0	162,142,199,171,110	45	-1
169	22,15,11,27,15	5,13,9,13,7	82,90,144,85,73	39,46,49,30,36	22	-1
172	0,1,0,0,0	24,12,26,27,19	0,0,0,0,0	6,6,24,4,14	22	-1
174	1,0,2,2,2	5,2,3,3,6	1,2,3,0,1	7,14,4,13,4	41	-1
