ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
162	0,0,0,0,0	9,9,16,6,11	1,2,0	14,12,3	-2	-1
163	44,92,66,44,54	568,930,908,562,568	36,92,92	403,807,796	-2	-1
174	3,0,0,2,0	4,2,9,1,5	0,0,0	1,2,3	-2	-1
182	0,1,0,0,0	5,5,15,4,9	0,0,0	2,3,2	-2	-1
190	1,0,0,0,0	4,0,4,1,0	0,0,0	0,0,2	-2	-1
191	1,7,4,2,0	10,28,37,42,7	0,1,0	8,5,10	-2	-1
192	3,0,1,2,1	10,8,12,12,9	1,0,0	4,8,2	-2	-1
196	0,3,1,1,0	43,56,42,40,29	0,0,1	28,31,22	-2	-1
200	0,1,5,5,0	0,1,2,2,1	0,7,4	1,6,2	-2	-1
204	2,1,2,0,4	1,10,11,2,7	2,1,3	0,1,1	-2	-1
205	6,0,8,1,3	6,6,15,15,2	1,0,1	6,1,1	-2	-1
208	0,1,0,0,1	7,6,4,2,1	0,0,1	0,0,1	-2	-1
216	3,2,6,5,1	73,69,105,53,55	3,2,4	38,56,73	-2	-1
219	0,0,0,0,0	35,22,55,34,18	0,0,1	19,28,16	-2	-1
224	7,0,1,6,6	114,93,116,94,91	3,0,3	58,21,29	-2	-1
225	0,0,0,2,0	121,72,131,87,104	0,0,0	58,62,44	-2	-1
226	0,0,2,0,2	2,2,3,4,1	0,0,0	2,2,1	-2	-1
229	4,1,5,0,3	181,169,249,189,171	0,4,9	120,139,119	-2	-1
238	0,0,2,1,1	9,6,13,4,5	0,2,0	0,0,2	-2	-1
239	2,2,1,8,2	9,1,17,17,20	0,1,2	1,8,1	-2	-1
240	0,0,0,1,0	9,5,4,7,6	0,0,0	1,3,4	-2	-1
243	15,1,8,13,19	102,7,94,151,146	6,6,1	69,33,15	-2	-1
249	5,0,0,4,5	44,8,17,43,43	2,2,2	25,24,5	-2	-1
250	7,1,2,5,5	13,9,13,3,1	2,3,2	4,0,4	-2	-1
251	2,1,2,1,0	49,34,20,59,42	0,1,0	26,15,6	-2	-1
253	1,0,0,0,0	0,4,4,1,3	0,0,0	0,1,1	-2	-1
256	12,11,21,18,13	0,0,0,1,0	4,7,13	0,0,0	-2	-1
257	1,0,0,1,2	31,40,37,45,28	0,0,0	15,18,22	-2	-1
259	0,1,0,0,0	34,42,42,38,22	0,1,1	22,32,28	-2	-1
266	0,0,2,4,0	8,12,21,10,11	0,0,0	7,9,8	-2	-1
267	3,0,4,3,1	20,10,10,17,10	1,0,0	11,1,0	-2	-1
268	20,6,15,12,7	4,0,4,3,6	3,2,0	1,0,0	-2	-1
270	25,10,22,16,17	100,80,121,65,61	4,6,6	51,63,62	-2	-1
273	2,4,1,2,2	668,1039,933,706,580	1,1,0	476,434,409	-2	-1
274	1,1,2,0,1	197,156,213,161,126	0,0,1	133,112,116	-2	-1
275	1,0,0,0,0	157,217,225,150,153	0,0,0	107,90,102	-2	-1
276	17,26,12,9,17	0,0,0,1,0	12,9,16	0,0,0	-2	-1
277	17,26,12,9,17	120,127,135,105,112	12,9,16	69,107,59	-2	-1
278	1,0,1,2,2	8,12,4,8,7	0,0,0	9,4,7	-2	-1
279	4,3,0,4,5	4,1,11,1,12	6,0,5	1,1,8	-2	-1
280	2,0,0,0,0	26,5,19,15,19	0,0,0	12,4,10	-2	-1
283	6,9,3,5,4	13,15,13,15,8	8,10,7	21,33,23	-2	-1
284	17,14,5,15,9	0,0,0,0,0	14,16,17	0,2,0	-2	-1
288	2,0,0,0,0	3,6,0,2,5	0,0,1	4,0,4	-2	-1
289	4,9,10,2,1	36,39,29,23,17	1,2,1	15,20,26	-2	-1
290	3,0,3,1,1	55,53,55,42,24	0,0,3	22,32,34	-2	-1
295	0,0,0,0,0	92,37,74,75,60	0,2,1	50,65,47	-2	-1
298	1,2,2,2,0	0,0,5,0,0	3,2,0	0,1,0	-2	-1
299	0,5,0,1,0	34,25,30,31,11	0,1,1	34,23,31	-2	-1
301	1,0,0,0,0	1,0,4,3,3	0,0,0	4,0,3	-2	-1
303	45,66,65,60,32	1,1,0,1,3	53,34,26	1,1,1	-2	-1
305	8,7,20,7,1	96,34,79,66,77	7,6,1	54,59,52	-2	-1
306	0,1,0,0,0	7,18,4,7,2	0,0,0	3,4,4	-2	-1
307	3,7,8,5,2	125,137,119,109,111	5,2,7	102,120,122	-2	-1
311	5,2,2,0,1	24,16,27,22,13	1,1,4	19,15,33	-2	-1
312	4,0,4,1,0	40,38,53,37,36	0,0,0	22,12,21	-2	-1
314	0,3,0,0,0	8,4,4,6,5	0,3,3	5,13,6	-2	-1
315	0,3,0,0,0	145,135,157,123,121	0,3,3	162,248,344	-2	-1
316	0,0,0,0,0	157,166,177,143,177	0,3,0	222,291,371	-2	-1
318	4,0,3,3,0	110,66,121,60,78	0,0,0	40,56,53	-2	-1
325	0,0,0,1,0	11,7,17,10,17	0,0,0	8,9,22	-2	-1
330	0,0,1,0,0	5,9,3,4,3	0,0,0	0,3,2	-2	-1
331	0,0,1,0,0	15,14,11,11,4	0,0,0	17,11,13	-2	-1
332	1,4,1,1,0	18,23,30,30,31	0,1,0	10,16,29	-2	-1
333	0,1,0,0,2	5,2,8,5,6	0,0,0	2,11,6	-2	-1
334	2,1,1,2,0	43,18,44,37,33	3,2,5	9,11,18	-2	-1
342	8,6,13,8,16	66,48,91,100,50	4,3,4	35,64,48	-2	-1
348	1,2,0,0,0	107,64,95,87,72	1,1,0	72,50,60	-2	-1
354	4,4,7,7,4	86,75,94,72,56	5,0,2	84,48,59	-2	-1
355	2,2,3,0,1	214,329,233,227,171	1,7,3	142,393,323	-2	-1
358	0,0,0,0,1	740,1267,1322,745,653	0,0,0	608,996,1037	-2	-1
359	0,0,0,0,1	890,1325,1550,0,2	0,0,0	1,3,71	-2	-1
366	0,0,1,3,0	3,3,2,4,4	0,0,0	0,1,1	-2	-1
367	0,0,1,3,0	2,0,0,0,0	1,0,0	0,0,0	-2	-1
371	0,0,2,0,0	23,20,20,12,13	2,0,0	13,10,3	-2	-1
372	0,0,2,0,0	3,7,1,3,2	2,0,0	2,2,1	-2	-1
373	0,0,2,0,0	3,2,0,7,1	2,0,0	8,0,3	-2	-1
374	8,13,8,8,3	152,232,200,179,131	2,4,3	67,97,98	-2	-1
378	0,0,1,1,0	13,9,18,5,10	0,0,0	3,2,0	-2	-1
379	0,0,0,0,0	3,7,3,8,7	0,0,2	3,1,1	-2	-1
389	1,0,0,0,0	3,1,4,7,1	0,1,0	5,9,7	-2	-1
390	1,0,0,0,0	132,167,182,153,123	0,1,0	176,280,225	-2	-1
408	0,0,0,0,1	10,7,17,11,12	0,0,0	4,1,6	-2	-1
