ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
187	90,53,108,77,53	0,0,0,0,1	78,82,77	0,0,0	-2	-1
188	2,0,3,9,1	0,6,5,6,3	4,7,5	5,21,8	-2	-1
190	2,0,0,0,0	19,13,29,22,5	1,1,0	10,1,7	-2	-1
192	90,72,122,100,45	5,1,0,4,1	28,23,30	0,1,0	-2	-1
194	0,3,1,0,0	9,1,1,3,3	0,0,0	2,4,1	-2	-1
195	79,62,94,59,55	0,0,0,1,0	70,53,39	1,1,0	-2	-1
196	29,18,33,22,30	0,0,0,0,0	17,10,14	0,0,1	-2	-1
197	35,42,51,37,22	0,0,1,0,0	19,15,26	0,0,0	-2	-1
198	3,0,3,1,1	55,53,55,42,24	0,0,3	22,32,34	-2	-1
202	0,0,0,0,0	21,12,26,15,12	1,0,0	26,45,36	-2	-1
203	1,0,0,3,0	4,3,6,2,2	0,0,0	0,7,1	-2	-1
205	12,4,16,14,5	0,0,5,0,0	13,18,14	0,1,0	-2	-1
206	1,5,12,6,3	0,0,0,0,0	6,3,4	0,0,2	-2	-1
208	2,0,0,0,0	56,38,49,49,32	0,0,1	45,61,78	-2	-1
209	45,57,41,39,44	74,76,89,60,62	25,20,24	37,32,43	-2	-1
210	12,18,15,17,10	0,0,1,1,0	9,10,3	1,0,0	-2	-1
211	96,112,83,66,60	20,23,27,12,22	55,50,66	10,5,4	-2	-1
215	51,41,56,54,42	19,10,17,11,11	32,37,39	10,10,6	-2	-1
217	12,4,10,6,7	1,0,0,0,0	1,4,1	0,1,0	-2	-1
218	49,65,88,59,33	0,0,1,2,0	39,52,43	0,1,0	-2	-1
219	2,0,0,0,0	7,6,19,12,9	0,0,0	4,5,4	-2	-1
227	15,14,11,11,4	5,9,3,4,3	17,11,13	0,3,2	-2	-1
231	2,0,0,3,0	13,11,16,13,6	0,1,0	9,5,8	-2	-1
232	1,0,0,0,0	5,7,7,13,8	0,0,0	7,11,7	-2	-1
240	14,16,19,19,13	0,0,0,0,0	10,8,11	0,1,0	-2	-1
244	1,3,3,1,3	0,1,0,1,0	3,3,1	1,2,7	-2	-1
249	4,4,6,6,4	86,75,94,72,56	4,0,2	84,48,59	-2	-1
250	3,1,2,1,1	22,32,22,22,23	1,1,1	12,33,16	-2	-1
252	0,0,0,0,1	2,2,9,3,2	0,0,0	1,3,1	-2	-1
256	0,0,1,4,1	3,3,2,4,4	1,1,0	0,1,1	-2	-1
257	4,2,7,0,0	2,0,0,2,0	0,1,0	0,0,0	-2	-1
258	0,2,3,2,1	74,64,67,52,38	0,2,4	46,47,26	-2	-1
