ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
178	10,12,5	1,0,0	11,13,13	0,0,0	89	-1
179	0,0,0	3,12,3	0,1,0	3,3,10	90	-1
180	17,17,5	0,0,0	13,14,12	0,0,1	104	-1
182	0,0,0	0,1,1	1,0,0	2,4,4	118	-1
183	2,7,3	4,15,13	3,10,8	4,11,14	296	-1
184	2,6,2	1,0,0	1,6,4	0,1,0	296	-1
185	2,7,2	3,2,2	1,6,4	1,6,0	296	-1
186	70,73,50	4,5,2	41,51,56	0,2,4	117	-1
187	107,139,135	1,0,0	98,84,64	0,0,0	53	-1
195	10,4,13	3,3,4	6,7,2	1,4,9	59	-1
198	3,8,1	0,0,0	11,14,12	2,0,0	118	-1
199	1,0,0	3,13,5	3,0,1	9,11,11	111	-1
202	55,76,43	0,0,0	64,37,42	0,0,1	139	-1
203	5,26,7	2,0,0	24,31,23	0,0,0	145	-1
205	191,131,269	3,0,0	105,79,62	0,0,2	55	-1
206	7,15,20	0,0,0	9,6,8	1,0,0	29	-1
207	14,18,17	9,25,12	12,15,14	6,8,5	26	-1
208	27,44,35	0,0,0	15,16,21	0,2,0	68	-1
209	17,20,11	0,0,0	4,5,9	0,1,0	145	-1
210	47,49,27	0,0,0	28,46,52	0,1,1	111	-1
211	24,27,16	1,2,0	14,25,24	1,2,0	111	-1
212	21,20,12	1,2,0	32,22,19	1,2,0	124	-1
213	44,44,23	0,2,0	46,42,46	0,0,0	124	-1
214	1,0,0	0,0,0	0,1,0	1,0,0	188	-1
215	0,3,1	0,0,0	0,1,2	0,1,0	80	-1
217	0,0,0	4,5,3	0,1,0	6,7,9	53	-1
219	4,2,7	2,0,1	4,3,2	0,0,0	87	-1
222	0,1,0	10,30,17	1,2,2	15,25,8	160	-1
223	0,1,0	10,30,17	1,3,2	15,25,8	133	-1
227	1,7,5	0,1,0	2,2,0	0,0,0	49	-1
228	17,34,33	0,1,0	28,10,14	0,0,0	53	-1
231	3,3,2	0,2,0	8,3,4	1,0,3	80	-1
232	7,6,9	2,1,0	4,10,3	0,0,0	65	-1
235	1600,1686,1451	0,1,0	1235,961,818	0,0,0	102	-1
236	0,0,0	7,28,19	2,0,1	26,28,40	123	-1
237	0,0,0	7,28,19	2,1,0	26,28,40	83	-1
238	27,75,37	3,21,15	47,52,58	14,14,23	65	-1
239	235,331,210	1,2,3	232,225,207	2,1,0	147	-1
246	523,657,480	1,7,3	592,420,463	6,0,0	139	-1
247	1039,977,1026	0,2,2	1087,593,566	1,0,0	137	-1
248	1026,900,1063	1,0,1	954,713,651	0,0,0	89	-1
249	44,25,26	543,483,613	30,13,15	534,410,431	106	-1
253	9,14,7	3,11,3	7,9,7	9,4,2	149	-1
254	8,7,6	3,11,3	4,9,4	9,4,2	104	-1
258	19,46,21	2,0,0	20,20,19	0,0,0	86	-1
260	61,94,36	0,0,0	81,36,40	0,0,1	127	-1
261	20,48,16	0,0,0	34,25,28	0,0,1	127	-1
262	30,26,17	0,0,0	31,19,16	0,0,1	134	-1
